source_id,publisher,kind,ports,source_url,source_published_on,source_published_at,checked_on,checked_at,valid_from,valid_through,supported_claim,confidence,missing_evidence
liverpool-55,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/142jelmm/lntm-2026-055-temporary-closure-of-s7-and-s8.pdf,2026-08-26,,2026-09-18,2026-09-18T08:46:59+01:00,2026-09-01,2026-09-29,Notice 55/2026 schedules closure of S7 and part of S8 at Royal Seaforth Dock from 1 to 29 September 2026. The restricted quay section is 480 m to 792 m.,high for notice content; current amendments not independently confirmed,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
liverpool-57,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/4r5p5yyi/lntm-2026-057-temporary-closure-of-south-gladstone-branch-dock-no-2.pdf,2026-08-26,,2026-09-18,2026-09-18T08:46:59+01:00,2026-09-14T00:00:00+01:00,2026-09-28T00:00:00+01:00,Notice 57/2026 closes the south quay of South Gladstone Branch Dock No 2 from 14 September at 00:00 until 27 September at 24:00. Vessels must not come alongside that quay.,high for notice content; current amendments not independently confirmed,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
liverpool-43,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/tulazv3l/lntm-2026-043-temporary-closures-of-langton-lock.pdf,2026-07-10,,2026-09-12,2026-09-12T08:17:29+01:00,2026-07-19,2026-09-11,Notice 43/2026 sets recurring Langton Lock closures through 11 September. Monday and Sunday windows are 09:00 to 20:00; Wednesday and Friday windows are 11:00 to 20:00. The Dockmaster can vary timings and suitably sized vessels may use the Hornby Passage and Gladstone Lock subject to confirmation.,high for notice content; actual lock slots must be confirmed,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
liverpool-59,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/qivmgfg2/lntm-2026-059-temporary-closure-of-gladstone-lock.pdf,2026-09-07,,2026-09-15,2026-09-15T08:34:32+01:00,2026-09-15T09:00:00+01:00,2026-09-15T17:00:00+01:00,Notice 59/2026 schedules a temporary Gladstone Lock closure for engineering work on 15 September 2026 from 09:00 to 17:00. Vessels able to transit the Hornby Passage may continue and use Langton Lock subject to tide height and Dockmaster confirmation.,high for notice content; actual lock/tide arrangements must be confirmed,"The notice does not report port-wide vessel queues, waiting time or berth utilisation."
liverpool-60,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/ucihxukn/lntm-2026-060-temporary-closure-of-a-bridge.pdf,2026-09-10,,2026-09-15,2026-09-15T08:34:32+01:00,2026-09-14T08:00:00+01:00,2026-09-14T16:00:00+01:00,Notice 60/2026 says A-Bridge will remain closed for engineering work on 14 September 2026 from 08:00 to 16:00.,high for the stated notice period; none for conditions after the stated window,No later amendment or port-wide congestion measurement was located in the reviewed public sources.
liverpool-61,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/zgjjwhga/lntm-2026-061-temporary-closure-of-langton-lock.pdf,2026-09-11,,2026-09-15,2026-09-15T08:34:32+01:00,2026-09-13T11:30:00+01:00,2026-09-13T21:00:00+01:00,Notice 61/2026 recorded a temporary Langton Lock closure on 13 September 2026 from 11:30 to 21:00. Vessels able to transit the Hornby Passage could continue and use Gladstone Lock subject to tide height and Dockmaster confirmation. The stated window had ended before this review.,high for notice content; none for current conditions after the stated window,"No timestamped port-wide waiting-time, queue or berth-utilisation measurement is provided by this notice."
felixstowe-status,Port of Felixstowe,primary-status,Felixstowe,https://ocean.portoffelixstowe.co.uk/,,,2026-09-09,2026-09-09T08:05:31+01:00,,,,none for operational conditions,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
southampton-status,DP World,primary-status,Southampton,https://www.dpworld.com/en/ports-terminals/united-kingdom/southampton/live-status,,,2026-09-11,2026-09-11T08:13:45+01:00,,,,none for port-wide congestion conditions,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
gateway-status,DP World,primary-status,London Gateway,https://www.dpworld.com/en/ports-terminals/united-kingdom/london-gateway/live-status,,,2026-09-11,2026-09-11T08:13:45+01:00,,,,none for port-wide congestion conditions,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
dublin-notices,Dublin Port,primary-index,Dublin,https://www.dublinport.ie/information-centre/notice-to-mariners-2026/,,,2026-09-18,2026-09-18T08:46:59+01:00,,,,none for port-wide congestion conditions,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
dublin-48,Dublin Port,primary-notice,Dublin,https://www.dublinport.ie/wp-content/uploads/2026/08/48-2026-Maintenance-Dredge-Campaign.pdf,2026-08-27,,2026-09-18,2026-09-18T08:46:59+01:00,2026-09-03,,"Notice 48/2026 says maintenance dredging started on 3 September for approximately three weeks, with works in the outer and inner fairway and all berths throughout Dublin Port. Vessels are told to pass at slow speed and allow for restricted manoeuvrability.",high for notice content; actual daily dredging location/timing must be confirmed by VTS,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
dublin-39-3,Dublin Port,primary-notice,Dublin,https://www.dublinport.ie/information-centre/notice-to-mariners-2026/,2026-09-01,,2026-09-18,2026-09-18T08:46:59+01:00,2026-09-13,,"Notice 39.3/2026 schedules survey operations from 13 September in western Dublin Bay. Public Dublin Port PDF copies give different approximate end dates (30 September and 31 October), so the current end date must be confirmed with Dublin Port VTS.",high for 13 September start and navigation advice; none for the survey end date,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
met-eireann-ei822-2026-09-09,Met Éireann,official-weather-warning,,https://www.met.ie/warnings/tomorrow/marine/EI822,2026-09-08,2026-09-08T07:31:00+01:00,2026-09-09,2026-09-09T08:05:31+01:00,2026-09-09T00:00:00+01:00,2026-09-09T04:00:00+01:00,"A small-craft warning stated that northwest winds could reach force 6 at times from Malin Head through Strangford Lough to Wicklow Head. It expired at 04:00 on 9 September, before this evidence review.",high for the stated warning period; none for port-wide congestion conditions,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
met-eireann-2026-09-10,Met Éireann,official-weather-warning,,https://www.met.ie/warnings/today/dublin,2026-09-09,2026-09-09T00:26:00+01:00,2026-09-10,2026-09-10T08:46:27+01:00,2026-09-10T07:00:00+01:00,2026-09-10T17:00:00+01:00,Small-craft warnings are in force on 10 September. South to southwest winds are forecast to reach force 6 or 7 at times from Fair Head through Howth Head to Roche's Point from 07:00 to 17:00; another warning covers Roche's Point through Slyne Head to Fair Head until 14:00.,high for the stated warning periods; none for port-wide congestion conditions,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
met-office-shipping-2026-09-11,Met Office on behalf of the Maritime and Coastguard Agency,official-shipping-forecast,,https://weather.metoffice.gov.uk/specialist-forecasts/coast-and-sea/shipping-forecast,2026-09-11,2026-09-11T04:05:00Z,2026-09-11,2026-09-11T08:13:45+01:00,2026-09-11T06:00:00Z,2026-09-12T06:00:00Z,"The shipping forecast issued at 04:05 UTC on 11 September carries gale warnings for Shannon and Malin, with southerly or southwesterly gale force 8 expected later. This is sea-area weather context, not a port congestion measurement.",high for the stated forecast and warning period; none for port-wide congestion conditions,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
met-office-shipping-2026-09-12,Met Office on behalf of the Maritime and Coastguard Agency,official-shipping-forecast,,https://weather.metoffice.gov.uk/specialist-forecasts/coast-and-sea/shipping-forecast,2026-09-12,2026-09-12T04:05:00+01:00,2026-09-12,2026-09-12T08:17:29+01:00,2026-09-12T06:00:00+01:00,2026-09-13T06:00:00+01:00,"The shipping forecast issued at 04:05 BST on 12 September carries a gale warning for Malin, with southerly gale force 8 continuing. The Irish Sea forecast has southwest force 5 to 7 before winds ease. This is sea-area weather context, not a port congestion measurement.",high for the stated forecast and warning period; none for port-wide congestion conditions,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
met-office-shipping-2026-09-13,Met Office on behalf of the Maritime and Coastguard Agency,official-shipping-forecast,,https://weather.metoffice.gov.uk/specialist-forecasts/coast-and-sea/shipping-forecast,2026-09-13,2026-09-13T04:05:00+01:00,2026-09-13,2026-09-13T08:25:38+01:00,2026-09-13T06:00:00+01:00,2026-09-14T06:00:00+01:00,"The shipping forecast issued at 04:05 BST on 13 September lists a gale warning only for Bailey. No gale warning is listed for the Irish Sea, Shannon or Malin; the Irish Sea forecast is variable force 2 to 4, becoming southwest 3 to 5 later, with rain and fog patches. This is sea-area weather context, not a port congestion measurement.",high for the stated forecast period; none for port-wide congestion conditions,"Timestamped port-wide queue, waiting-time and berth-utilisation measurements were not provided."
met-office-shipping-2026-09-14,Met Office on behalf of the Maritime and Coastguard Agency,official-shipping-forecast,,https://weather.metoffice.gov.uk/specialist-forecasts/coast-and-sea/shipping-forecast,2026-09-14,2026-09-14T04:05:00+01:00,2026-09-14,2026-09-14T08:10:30+01:00,2026-09-14T06:00:00+01:00,2026-09-15T06:00:00+01:00,"The shipping forecast issued at 04:05 BST on 14 September reports no gale warnings in force. For Lundy, Fastnet and the Irish Sea it forecasts southwest winds veering west or northwest later, force 2 to 4 increasing 4 to 6, with occasional rain and fog patches at first. This is sea-area weather context, not a port congestion measurement.",high for the stated forecast period; none for port-wide congestion conditions,"A sea-area forecast does not measure queues, berth use or waiting times at any port."
met-office-shipping-2026-09-15,Met Office on behalf of the Maritime and Coastguard Agency,official-weather,,https://weather.metoffice.gov.uk/specialist-forecasts/coast-and-sea/shipping-forecast,2026-09-15,2026-09-15T04:05:00Z,2026-09-15,2026-09-15T08:34:32+01:00,2026-09-15T06:00:00Z,2026-09-16T06:00:00Z,"The shipping forecast issued at 04:05 UTC on 15 September carries a gale warning for Forties. It does not list a gale warning for the Irish Sea, Shannon or Malin. The Irish Sea forecast has west or southwest winds veering northwest, force 4 to 6. This is sea-area weather context, not a port congestion measurement.",high for the stated forecast period; none for port-wide congestion conditions,"A sea-area forecast does not measure queues, berth use or waiting times at any port."
met-office-inshore-2026-09-15,Met Office,official-weather,,https://weather.metoffice.gov.uk/specialist-forecasts/coast-and-sea/inshore-waters-forecast,2026-09-15,2026-09-15T06:00:00Z,2026-09-15,2026-09-15T08:34:32+01:00,2026-09-15T06:00:00Z,2026-09-16T06:00:00Z,"The inshore forecast issued at 06:00 UTC on 15 September carries a strong-wind warning from the Mull of Galloway to the Mull of Kintyre, including the Firth of Clyde and North Channel. Westerly or southwesterly winds are forecast to veer northwesterly, force 4 or 5 and increase to force 6 at times until later. This is coastal weather context, not evidence of congestion at Belfast or Larne.",high for the stated forecast period; none for port-wide congestion conditions,"The forecast does not report terminal operations, queues, berth use or waiting times."
liverpool-62,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/rdvpvxk2/lntm-2026-062-temporary-closure-of-canada-90-swing-bridge.pdf,2026-09-16,,2026-09-18,2026-09-18T08:46:59+01:00,2026-09-17T18:30:00+01:00,2026-09-17T20:30:00+01:00,Notice 62/2026 schedules closure of the Canada 90-foot Swing Bridge to vessel movements from 18:30 to 20:30 on 17 September 2026. Vessels cannot pass between Canada Dock and docks south of the bridge during the closure.,high for the stated notice period; none for port-wide congestion conditions,"Actual bridge status, amendments, port-wide queues, waiting times and berth utilisation are not reported."
liverpool-63,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/xtwbi5nd/lntm-2026-063-temporary-closure-of-alfred-lock.pdf,2026-09-16,,2026-09-18,2026-09-18T08:46:59+01:00,2026-09-18T03:52:00+01:00,2026-09-18T13:16:00+01:00,"Notice 63/2026 schedules closure of Alfred Lock to vessel movements on the 03:52 high-water tide on 18 September 2026. Unless amended, the notice is to be withdrawn at 13:16 that day.",high for the stated notice period; none for port-wide congestion conditions,"Actual lock status, amendments, port-wide queues, waiting times and berth utilisation are not reported."
met-office-shipping-2026-09-17,Met Office on behalf of the Maritime and Coastguard Agency,official-weather,,https://weather.metoffice.gov.uk/specialist-forecasts/coast-and-sea/shipping-forecast,2026-09-17,2026-09-17T04:05:00Z,2026-09-17,2026-09-17T08:39:58+01:00,2026-09-17T06:00:00Z,2026-09-18T06:00:00Z,"The shipping forecast issued at 04:05 UTC on 17 September carries gale warnings for Rockall, Malin, Hebrides, Bailey, Fair Isle and Faeroes. The Irish Sea forecast is west or southwest force 4 to 6, occasionally 7 at first. This is sea-area weather context, not a port congestion measurement.",high for the stated forecast period; none for port-wide congestion conditions,"The forecast does not report terminal operations, queues, berth use or waiting times."
met-office-inshore-2026-09-17,Met Office,official-weather,,https://weather.metoffice.gov.uk/specialist-forecasts/coast-and-sea/inshore-waters-forecast,2026-09-17,2026-09-17T06:00:00Z,2026-09-17,2026-09-17T08:39:58+01:00,2026-09-17T06:00:00Z,2026-09-18T06:00:00Z,"The inshore forecast issued at 06:00 UTC on 17 September carries strong-wind warnings for Great Orme Head to the Mull of Galloway, the Isle of Man, Lough Foyle to Carlingford Lough, and the Firth of Clyde and North Channel. Some Northern Ireland coastal areas are forecast west or southwest force 6 to gale 8. This is coastal weather context, not evidence of port congestion.",high for the stated forecast period; none for port-wide congestion conditions,"The forecast does not report terminal operations, queues, berth use or waiting times."
liverpool-notices-index-2026-09-18,Peel Ports,primary-index,Liverpool,https://www.peelports.com/marine/our-ports/liverpool/,,,2026-09-18,2026-09-18T08:46:59+01:00,,,"The official Liverpool marine page lists Notices 55, 57, 62 and 63 among current 2026 notices. Notice 62’s stated window ended on 17 September; Notice 63’s stated Alfred Lock window runs until 13:16 on 18 September.",high for the notice index at the stated check time; none for port-wide congestion conditions,"The index does not report actual lock status, amendments, queues, waiting times or berth utilisation."
met-office-shipping-2026-09-18,Met Office on behalf of the Maritime and Coastguard Agency,official-weather,Holyhead|Londonderry,https://weather.metoffice.gov.uk/specialist-forecasts/coast-and-sea/shipping-forecast,2026-09-18,2026-09-18T04:05:00Z,2026-09-18,2026-09-18T08:46:59+01:00,2026-09-18T06:00:00Z,2026-09-19T06:00:00Z,"The shipping forecast issued at 04:05 UTC on 18 September carries gale warnings for the Irish Sea and Malin. The Irish Sea has southwesterly gale force 8 expected later; Malin has southwesterly gale force 8 expected soon. This is sea-area weather context, not a port congestion measurement.",high for the stated forecast period; none for port-wide congestion conditions,"The forecast does not report terminal operations, queues, berth use or waiting times."
met-office-inshore-2026-09-18,Met Office,official-weather,Holyhead|Belfast|Larne|Londonderry,https://weather.metoffice.gov.uk/specialist-forecasts/coast-and-sea/inshore-waters-forecast,2026-09-18,2026-09-18T06:00:00Z,2026-09-18,2026-09-18T08:46:59+01:00,2026-09-18T06:00:00Z,2026-09-19T06:00:00Z,"The inshore forecast issued at 06:00 UTC on 18 September carries strong-wind warnings for Great Orme Head to the Mull of Galloway, the Isle of Man, Lough Foyle to Carlingford Lough, and the Firth of Clyde and North Channel. Irish Sea-facing areas are forecast to reach gale force 8, while the North Channel may reach force 7. This is coastal weather context, not evidence of port congestion.",high for the stated forecast period; none for port-wide congestion conditions,"The forecast does not report terminal operations, queues, berth use or waiting times."
