source_id,publisher,kind,ports,source_url,source_published_on,source_published_at,checked_on,checked_at,valid_from,valid_through,supported_claim,confidence
liverpool-55,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/142jelmm/lntm-2026-055-temporary-closure-of-s7-and-s8.pdf,2026-08-26,,2026-09-11,2026-09-11T08:13:45+01:00,2026-09-01,2026-09-29,Notice 55/2026 schedules closure of S7 and part of S8 at Royal Seaforth Dock from 1 to 29 September 2026. The restricted quay section is 480 m to 792 m.,high for notice content; current amendments not independently confirmed
liverpool-57,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/4r5p5yyi/lntm-2026-057-temporary-closure-of-south-gladstone-branch-dock-no-2.pdf,2026-08-26,,2026-09-11,2026-09-11T08:13:45+01:00,2026-09-14T00:00:00+01:00,2026-09-28T00:00:00+01:00,Notice 57/2026 closes the south quay of South Gladstone Branch Dock No 2 from 14 September at 00:00 until 27 September at 24:00. Vessels must not come alongside that quay.,high for notice content; current amendments not independently confirmed
liverpool-43,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/tulazv3l/lntm-2026-043-temporary-closures-of-langton-lock.pdf,2026-07-10,,2026-09-11,2026-09-11T08:13:45+01:00,2026-07-19,2026-09-11,Notice 43/2026 sets recurring Langton Lock closures through 11 September. Monday and Sunday windows are 09:00 to 20:00; Wednesday and Friday windows are 11:00 to 20:00. The Dockmaster can vary timings and suitably sized vessels may use the Hornby Passage and Gladstone Lock subject to confirmation.,high for notice content; actual lock slots must be confirmed
liverpool-59,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/qivmgfg2/lntm-2026-059-temporary-closure-of-gladstone-lock.pdf,2026-09-07,,2026-09-11,2026-09-11T08:13:45+01:00,2026-09-15,2026-09-15,Notice 59/2026 schedules a temporary Gladstone Lock closure for engineering work on 15 September 2026 from 09:00 to 17:00. Vessels able to transit the Hornby Passage may continue and use Langton Lock subject to tide height and Dockmaster confirmation.,high for notice content; actual lock/tide arrangements must be confirmed
liverpool-60,Peel Ports,primary-notice,Liverpool,https://www.peelports.com/media/ucihxukn/lntm-2026-060-temporary-closure-of-a-bridge.pdf,2026-09-10,,2026-09-11,2026-09-11T08:13:45+01:00,2026-09-14T08:00:00+01:00,2026-09-14T16:00:00+01:00,Notice 60/2026 says A-Bridge will remain closed for engineering work on 14 September 2026 from 08:00 to 16:00.,high for notice content; current amendments not independently confirmed
felixstowe-status,Port of Felixstowe,primary-status,Felixstowe,https://ocean.portoffelixstowe.co.uk/,,,2026-09-09,2026-09-09T08:05:31+01:00,,,,none for operational conditions
southampton-status,DP World,primary-status,Southampton,https://www.dpworld.com/en/ports-terminals/united-kingdom/southampton/live-status,,,2026-09-11,2026-09-11T08:13:45+01:00,,,,none for port-wide congestion conditions
gateway-status,DP World,primary-status,London Gateway,https://www.dpworld.com/en/ports-terminals/united-kingdom/london-gateway/live-status,,,2026-09-11,2026-09-11T08:13:45+01:00,,,,none for port-wide congestion conditions
dublin-notices,Dublin Port,primary-index,Dublin,https://www.dublinport.ie/information-centre/notice-to-mariners-2026/,,,2026-09-11,2026-09-11T08:13:45+01:00,,,,none for port-wide congestion conditions
dublin-48,Dublin Port,primary-notice,Dublin,https://www.dublinport.ie/wp-content/uploads/2026/08/48-2026-Maintenance-Dredge-Campaign.pdf,2026-08-27,,2026-09-11,2026-09-11T08:13:45+01:00,2026-09-03,,"Notice 48/2026 says maintenance dredging started on 3 September for approximately three weeks, with works in the outer and inner fairway and all berths throughout Dublin Port. Vessels are told to pass at slow speed and allow for restricted manoeuvrability.",high for notice content; actual daily dredging location/timing must be confirmed by VTS
dublin-39-3,Dublin Port,primary-notice,Dublin,https://www.dublinport.ie/wp-content/uploads/2026/09/39.3-2026-Survey-Operations-1.pdf,2026-09-01,,2026-09-11,2026-09-11T08:13:45+01:00,2026-09-13,,"Notice 39.3/2026 schedules geophysical survey operations from 13 September until approximately 30 September in western Dublin Bay south of the Great South Wall and west of Dun Laoghaire Harbour. Vessels are asked to navigate with caution, keep a safe distance and pass at slow speed.",high for notice content; actual weather/operations-dependent status must be confirmed
met-eireann-ei822-2026-09-09,Met Éireann,official-weather-warning,,https://www.met.ie/warnings/tomorrow/marine/EI822,2026-09-08,2026-09-08T07:31:00+01:00,2026-09-09,2026-09-09T08:05:31+01:00,2026-09-09T00:00:00+01:00,2026-09-09T04:00:00+01:00,"A small-craft warning stated that northwest winds could reach force 6 at times from Malin Head through Strangford Lough to Wicklow Head. It expired at 04:00 on 9 September, before this evidence review.",high for the stated warning period; none for port-wide congestion conditions
met-eireann-2026-09-10,Met Éireann,official-weather-warning,,https://www.met.ie/warnings/today/dublin,2026-09-09,2026-09-09T00:26:00+01:00,2026-09-10,2026-09-10T08:46:27+01:00,2026-09-10T07:00:00+01:00,2026-09-10T17:00:00+01:00,Small-craft warnings are in force on 10 September. South to southwest winds are forecast to reach force 6 or 7 at times from Fair Head through Howth Head to Roche's Point from 07:00 to 17:00; another warning covers Roche's Point through Slyne Head to Fair Head until 14:00.,high for the stated warning periods; none for port-wide congestion conditions
met-office-shipping-2026-09-11,Met Office on behalf of the Maritime and Coastguard Agency,official-shipping-forecast,,https://weather.metoffice.gov.uk/specialist-forecasts/coast-and-sea/shipping-forecast,2026-09-11,2026-09-11T04:05:00Z,2026-09-11,2026-09-11T08:13:45+01:00,2026-09-11T06:00:00Z,2026-09-12T06:00:00Z,"The shipping forecast issued at 04:05 UTC on 11 September carries gale warnings for Shannon and Malin, with southerly or southwesterly gale force 8 expected later. This is sea-area weather context, not a port congestion measurement.",high for the stated forecast and warning period; none for port-wide congestion conditions
